"name","team_name","group","appearances","goals","assists","minutes","total_contributions","contributions_per_90","efficiency_score"
"Ferdi Kad?o?lu","T?rkiye","D","42","2","0","3475","2","0.05","0.05"
"Eren Elmal?","T?rkiye","D","40","4","0","2196","4","0.16","0.1"
"Mustafa Eskihella?","T?rkiye","D","33","1","5","2710","6","0.2","0.18"
"Zeki ?elik","T?rkiye","D","43","1","4","3471","5","0.13","0.12"
"Mert M?ld?r","T?rkiye","D","41","1","2","2443","3","0.11","0.07"
"Hakan ?alhano?lu","T?rkiye","D","32","12","7","2310","19","0.74","0.59"
"?smail Y?ksek","T?rkiye","D","47","2","2","2868","4","0.13","0.09"
"Atakan Karazor","T?rkiye","D","44","2","1","3197","3","0.08","0.06"
"Salih ?zcan","T?rkiye","D","13","0","0","81","0","0.0","0.0"
"Kaan Ayhan","T?rkiye","D","27","0","0","715","0","0.0","0.0"
"Orkun K?k??","T?rkiye","D","41","9","10","3178","19","0.54","0.46"
"Arda G?ler","T?rkiye","D","52","6","15","3412","21","0.55","0.4"
"Kenan Y?ld?z","T?rkiye","D","47","11","10","3702","21","0.51","0.45"
"Bar?? Alper Y?lmaz","T?rkiye","D","50","12","15","3723","27","0.65","0.54"
"Kerem Akt?rko?lu","T?rkiye","D","49","15","8","3435","23","0.6","0.47"
"O?uz Ayd?n","T?rkiye","D","37","0","3","1209","3","0.22","0.08"
"Yunus Akg?n","T?rkiye","D","41","10","11","2405","21","0.79","0.51"
"?rfan Can Kahveci","T?rkiye","D","27","2","3","1570","5","0.29","0.19"
"Deniz G?l","T?rkiye","D","43","6","2","1679","8","0.43","0.19"
