"name","team_name","group","appearances","goals","assists","minutes","total_contributions","contributions_per_90","efficiency_score"
"Yaimar Medina","Ecuador","E","41","1","2","2253","3","0.12","0.07"
"Angelo Preciado","Ecuador","E","43","1","7","2638","8","0.27","0.18"
"Jos? Andr?s Hurtado","Ecuador","E","21","1","0","1483","1","0.06","0.05"
"Mois?s Caicedo","Ecuador","E","51","5","1","4264","6","0.13","0.12"
"Jordy Alc?var","Ecuador","E","15","2","2","939","4","0.38","0.26"
"Denil Castillo","Ecuador","E","49","6","7","2817","13","0.42","0.27"
"Alan Franco","Ecuador","E","32","0","2","2643","2","0.07","0.06"
"Kendry P?ez","Ecuador","E","36","2","1","1261","3","0.21","0.08"
"Pedro Vite","Ecuador","E","41","4","0","3117","4","0.12","0.1"
"John Mercado","Ecuador","E","37","7","5","2213","12","0.49","0.33"
"Gonzalo Plata","Ecuador","E","27","2","6","1653","8","0.44","0.3"
"Alan Minda","Ecuador","E","34","5","3","1512","8","0.48","0.24"
"Bryan Ram?rez","Ecuador","E","13","0","1","1065","1","0.08","0.07"
"El?as Legendre Qui??nez","Ecuador","E","26","8","3","1317","11","0.75","0.42"
"Janner Corozo","Ecuador","E","12","3","1","761","4","0.47","0.33"
"Anthony Valencia","Ecuador","E","25","4","2","1356","6","0.4","0.24"
"John Yeboah","Ecuador","E","42","13","12","3161","25","0.71","0.59"
"Jeremy Ar?valo","Ecuador","E","32","13","2","1245","15","1.08","0.47"
"Kevin Rodr?guez","Ecuador","E","40","12","3","2354","15","0.57","0.37"
"Enner Valencia","Ecuador","E","23","9","1","1444","10","0.62","0.43"
"Jordy Caicedo","Ecuador","E","29","8","0","1703","8","0.42","0.27"
"Orlando Gill","Paraguay","D","23","0","0","2070","0","0.0","0.0"
"Gast?n Olveira","Paraguay","D","23","0","0","2070","0","0.0","0.0"
"Roberto Fern?ndez","Paraguay","D","2","0","0","180","0","0.0","0.0"
"Omar Alderete","Paraguay","D","37","1","1","3147","2","0.06","0.06"
"Gustavo G?mez","Paraguay","D","32","3","0","2825","3","0.1","0.1"
"J?nior Alonso","Paraguay","D","20","0","0","1681","0","0.0","0.0"
"Jos? Canale","Paraguay","D","20","1","0","1761","1","0.05","0.05"
"Fabi?n Balbuena","Paraguay","D","12","0","0","973","0","0.0","0.0"
"Gustavo Vel?zquez","Paraguay","D","16","0","0","1351","0","0.0","0.0"
"Alexandro Maidana","Paraguay","D","17","2","0","1303","2","0.14","0.12"
"Juan Jos? C?ceres","Paraguay","D","33","1","9","2829","10","0.32","0.3"
"Alan Ben?tez","Paraguay","D","11","1","2","918","3","0.29","0.27"
"Braian Ojeda","Paraguay","D","19","0","2","1381","2","0.13","0.1"
"Lucas Romero","Paraguay","D","7","0","0","356","0","0.0","0.0"
"Diego G?mez","Paraguay","D","41","12","1","2801","13","0.42","0.32"
"Dami?n Bobadilla","Paraguay","D","30","4","3","2131","7","0.3","0.24"
"Mat?as Galarza","Paraguay","D","14","0","0","829","0","0.0","0.0"
"Julio Enciso","Paraguay","D","43","11","7","2973","18","0.54","0.41"
"Mauricio","Paraguay","D","26","3","2","1744","5","0.26","0.19"
"Gustavo Caballero","Paraguay","D","16","2","0","893","2","0.2","0.12"
"Miguel Almir?n","Paraguay","D","14","1","4","1097","5","0.41","0.36"
"Ram?n Sosa","Paraguay","D","31","6","5","1504","11","0.66","0.36"
"?lex Arce","Paraguay","D","0","0","0","0","0","0.0","0.0"
"Antonio Sanabria","Paraguay","D","30","2","1","1215","3","0.22","0.1"
"Gabriel ?valos","Paraguay","D","17","9","5","1489","14","0.85","0.83"
"Santiago Mele","Uruguay","H","21","0","0","1880","0","0.0","0.0"
"Sergio Rochet","Uruguay","H","16","0","0","1440","0","0.0","0.0"
"Fernando Muslera","Uruguay","H","16","0","0","1395","0","0.0","0.0"
"Ronald Araujo","Uruguay","H","39","4","0","1768","4","0.2","0.1"
"Jos? Mar?a Gim?nez","Uruguay","H","27","1","1","1755","2","0.1","0.07"
"Santiago Bueno","Uruguay","H","34","4","2","2913","6","0.19","0.18"
"Sebasti?n C?ceres","Uruguay","H","35","0","0","2919","0","0.0","0.0"
"Maxi Ara?jo","Uruguay","H","48","7","4","3704","11","0.27","0.23"
"Math?as Olivera","Uruguay","H","35","0","2","2108","2","0.09","0.06"
